From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (GO)
Q8DR55	Q8DR55	reviewed	MAPZ_STRR6	Mid-cell-anchored protein Z	mapZ locZ spr0334	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	464	plasma membrane [GO:0005886]; cell cycle [GO:0007049]; cell division [GO:0051301]
Q8DRP8	Q8DRP8	reviewed	HGPRT_STRR6	Hypoxanthine-guanine phosphoribosyltransferase (HGPRT) (HGPRTase) (EC 2.4.2.8)	hpt spr0011	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	180	cytosol [GO:0005829]; guanine phosphoribosyltransferase activity [GO:0052657]; hypoxanthine phosphoribosyltransferase activity [GO:0004422]; magnesium ion binding [GO:0000287]; nucleotide binding [GO:0000166]; GMP salvage [GO:0032263]; guanine salvage [GO:0006178]; hypoxanthine metabolic process [GO:0046100]; IMP salvage [GO:0032264]; purine ribonucleoside salvage [GO:0006166]
Q8DPS3	Q8DPS3	reviewed	GLGA_STRR6	Glycogen synthase (EC 2.4.1.21) (Starch [bacterial glycogen] synthase)	glgA spr1032	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	477	alpha-1,4-glucan synthase activity [GO:0033201]; glycogen (starch) synthase activity [GO:0004373]; starch synthase activity [GO:0009011]; glycogen biosynthetic process [GO:0005978]
Q8CYS7	Q8CYS7	unreviewed	Q8CYS7_STRR6	Xylose isomerase-like TIM barrel domain-containing protein	spr0963	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	260	lyase activity [GO:0016829]
Q8DRL2	Q8DRL2	unreviewed	Q8DRL2_STRR6	Phosphotransferase system sugar-specific EIIC component	PTS-EIIC spr0061	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	301	plasma membrane [GO:0005886]; phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401]
Q8CYW5	Q8CYW5	unreviewed	Q8CYW5_STRR6	Uncharacterized protein	spr0811	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	63	membrane [GO:0016020]
Q8DQG3	Q8DQG3	reviewed	RIMM_STRR6	Ribosome maturation factor RimM	rimM spr0686	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	172	cytoplasm [GO:0005737]; ribosome [GO:0005840]; ribosome binding [GO:0043022]; ribosomal small subunit biogenesis [GO:0042274]; rRNA processing [GO:0006364]
Q8DP57	Q8DP57	unreviewed	Q8DP57_STRR6	Degenerate transposase (Orf1)	spr1341	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	89	
Q8CZ50	Q8CZ50	unreviewed	Q8CZ50_STRR6	Uncharacterized protein	spr0451	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	66	membrane [GO:0016020]
Q8DQT8	Q8DQT8	reviewed	SYFA_STRR6	Phenylalanine--tRNA ligase alpha subunit (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase alpha subunit) (PheRS)	pheS spr0507	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	348	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; phenylalanine-tRNA ligase activity [GO:0004826]; transferase activity [GO:0016740]; tRNA binding [GO:0000049]; phenylalanyl-tRNA aminoacylation [GO:0006432]
Q8DQ01	Q8DQ01	unreviewed	Q8DQ01_STRR6	Citrulline cluster-linked protein	ccl spr0917	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	193	membrane [GO:0016020]
Q8CZ12	Q8CZ12	unreviewed	Q8CZ12_STRR6	Uncharacterized protein	spr0596	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	65	membrane [GO:0016020]
Q8DNM4	Q8DNM4	unreviewed	Q8DNM4_STRR6	Catabolite control protein	ccpA spr1639	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	333	DNA-binding transcription factor activity [GO:0003700]; transcription cis-regulatory region binding [GO:0000976]; regulation of DNA-templated transcription [GO:0006355]
Q8DR26	Q8DR26	reviewed	MUTS2_STRR6	Endonuclease MutS2 (EC 3.1.-.-)	mutS2 spr0368	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	778	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent DNA damage sensor activity [GO:0140664]; double-stranded DNA binding [GO:0003690]; endonuclease activity [GO:0004519]; mismatched DNA binding [GO:0030983]; mismatch repair [GO:0006298]; negative regulation of DNA recombination [GO:0045910]
Q8DP53	Q8DP53	unreviewed	Q8DP53_STRR6	Degenerative transposase	spr1350	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	71	
Q8CYC5	Q8CYC5	unreviewed	Q8CYC5_STRR6	SnoaL-like domain-containing protein	spr1679	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	254	polyketide metabolic process [GO:0030638]
Q8DQF0	Q8DQF0	unreviewed	Q8DQF0_STRR6	U32 family peptidase	spr0710	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	356	organic substance metabolic process [GO:0071704]
Q8DNJ2	Q8DNJ2	unreviewed	Q8DNJ2_STRR6	ABC transporter substrate-binding protein-ferric iron transport	fatB spr1687	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	321	outer membrane-bounded periplasmic space [GO:0030288]; iron ion transport [GO:0006826]
Q8DN66	Q8DN66	unreviewed	Q8DN66_STRR6	Response regulator	phoP pnpR spr1893	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	235	cytosol [GO:0005829]; protein-DNA complex [GO:0032993]; phosphorelay response regulator activity [GO:0000156]; transcription cis-regulatory region binding [GO:0000976]; regulation of DNA-templated transcription [GO:0006355]
Q8DQN9	Q8DQN9	unreviewed	Q8DQN9_STRR6	Thioredoxin domain-containing protein	spr0576	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	197	oxidoreductase activity [GO:0016491]
Q8DP96	Q8DP96	unreviewed	Q8DP96_STRR6	HTH cro/C1-type domain-containing protein	spr1279	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	79	DNA binding [GO:0003677]
Q8DNW6	Q8DNW6	unreviewed	Q8DNW6_STRR6	ABC transporter domain-containing protein	ABC-NBD spr1497	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	236	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; transmembrane transporter activity [GO:0022857]
Q8DPK7	Q8DPK7	reviewed	UVRB_STRR6	UvrABC system protein B (Protein UvrB) (Excinuclease ABC subunit B)	uvrB uvr402 spr1118	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	662	cytoplasm [GO:0005737]; excinuclease repair complex [GO:0009380]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; DNA binding [GO:0003677]; excinuclease ABC activity [GO:0009381]; nucleotide-excision repair [GO:0006289]; SOS response [GO:0009432]
Q8CZ39	Q8CZ39	unreviewed	Q8CZ39_STRR6	Uncharacterized protein	spr0489	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	149	
Q8DRG3	Q8DRG3	unreviewed	Q8DRG3_STRR6	MFS transporter	spr0144	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	409	plasma membrane [GO:0005886]; transmembrane transporter activity [GO:0022857]
Q8DRM6	Q8DRM6	unreviewed	Q8DRM6_STRR6	Phosphoribosylformylglycinamide synthetase (EC 6.3.5.3)	purL spr0046	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	1242	cytoplasm [GO:0005737]; metal ion binding [GO:0046872]; phosphoribosylformylglycinamidine synthase activity [GO:0004642]; purine nucleotide biosynthetic process [GO:0006164]
Q8DR43	Q8DR43	unreviewed	Q8DR43_STRR6	DNA alkylation repair enzyme, truncation	spr0346	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	84	
Q8DQ03	Q8DQ03	unreviewed	Q8DQ03_STRR6	Large-conductance mechanosensitive channel	mscL spr0915	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	125	plasma membrane [GO:0005886]; mechanosensitive monoatomic ion channel activity [GO:0008381]; monoatomic ion transport [GO:0006811]
Q8DQS2	Q8DQS2	unreviewed	Q8DQS2_STRR6	ABC transporter membrane-spanning permease-Pep export	vex3 spr0526	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	459	plasma membrane protein complex [GO:0098797]; lipoprotein localization to outer membrane [GO:0044874]
Q8CYA7	Q8CYA7	unreviewed	Q8CYA7_STRR6	PIN domain-containing protein	spr1750	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	141	
Q8CYA1	Q8CYA1	unreviewed	Q8CYA1_STRR6	Secreted protein	spr1764	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	56	
Q8DQF6	Q8DQF6	unreviewed	Q8DQF6_STRR6	Transcription regulator PadR N-terminal domain-containing protein	spr0697	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	107	
Q8DNP1	Q8DNP1	unreviewed	Q8DNP1_STRR6	Chromosome segregation helicase	cshA spr1616	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	423	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; DNA binding [GO:0003677]; enzyme activator activity [GO:0008047]; single-stranded DNA helicase activity [GO:0017116]; DNA synthesis involved in DNA repair [GO:0000731]; DNA-templated DNA replication [GO:0006261]
Q7ZAK5	Q7ZAK5	reviewed	TACY_STRR6	Pneumolysin (PLY) (Thiol-activated cytolysin)	ply spr1739	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	471	cytoplasm [GO:0005737]; extracellular region [GO:0005576]; host cell plasma membrane [GO:0020002]; membrane [GO:0016020]; cholesterol binding [GO:0015485]; toxin activity [GO:0090729]; killing of cells of another organism [GO:0031640]
Q8DRN4	Q8DRN4	reviewed	RECO_STRR6	DNA repair protein RecO (Recombination protein O)	recO spr0036	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	256	bacterial nucleoid [GO:0043590]; DNA recombination [GO:0006310]; double-strand break repair [GO:0006302]
Q8DQN4	Q8DQN4	unreviewed	Q8DQN4_STRR6	Para-aminobenzoate synthetase (EC 4.1.3.-)	pabB spr0582	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	573	4-amino-4-deoxychorismate synthase activity [GO:0046820]; lyase activity [GO:0016829]; folic acid-containing compound biosynthetic process [GO:0009396]; tryptophan biosynthetic process [GO:0000162]
Q8DNR1	Q8DNR1	reviewed	TMCAL_STRR6	tRNA(Met) cytidine acetate ligase (EC 6.3.4.-)	tmcAL spr1587	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	365	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ligase activity, forming carbon-nitrogen bonds [GO:0016879]; tRNA binding [GO:0000049]; tRNA modification [GO:0006400]
Q8DNS1	Q8DNS1	unreviewed	Q8DNS1_STRR6	Threonine/serine exporter-like N-terminal domain-containing protein	spr1576	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	252	plasma membrane [GO:0005886]; transmembrane transporter activity [GO:0022857]; succinate transport [GO:0015744]
Q8DR19	Q8DR19	reviewed	FABM_STRR6	Trans-2-decenoyl-[acyl-carrier-protein] isomerase (EC 5.3.3.14)	fabM phaB spr0375	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	261	trans-2-decenoyl-acyl-carrier-protein isomerase activity [GO:0034017]; fatty acid beta-oxidation [GO:0006635]; unsaturated fatty acid biosynthetic process [GO:0006636]
Q8DPH0	Q8DPH0	reviewed	Y1167_STRR6	UPF0122 protein spr1167	spr1167	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	110	
Q8DNZ5	Q8DNZ5	unreviewed	Q8DNZ5_STRR6	Degenerate transposase (Orf2)	spr1447	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	90	
Q8DPI8	Q8DPI8	unreviewed	Q8DPI8_STRR6	TIGR00341 family protein	spr1142	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	347	membrane [GO:0016020]
Q8DQQ5	Q8DQQ5	unreviewed	Q8DQQ5_STRR6	Uracil-DNA glycosylase-like domain-containing protein	spr0548	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	192	
Q8DQ91	Q8DQ91	unreviewed	Q8DQ91_STRR6	site-specific DNA-methyltransferase (adenine-specific) (EC 2.1.1.72)	hsdM spr0790	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	497	DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]; site-specific DNA-methyltransferase (adenine-specific) activity [GO:0009007]
Q8DNY3	Q8DNY3	unreviewed	Q8DNY3_STRR6	Bcl-2 family protein	spr1463	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	225	tRNA (adenine-N1-)-methyltransferase activity [GO:0016429]
Q8DRB6	Q8DRB6	reviewed	SYL_STRR6	Leucine--tRNA ligase (EC 6.1.1.4) (Leucyl-tRNA synthetase) (LeuRS)	leuS spr0235	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	833	cytosol [GO:0005829]; aminoacyl-tRNA editing activity [GO:0002161]; ATP binding [GO:0005524]; leucine-tRNA ligase activity [GO:0004823]; leucyl-tRNA aminoacylation [GO:0006429]
Q8DNN1	Q8DNN1	unreviewed	Q8DNN1_STRR6	Type 4 prepilin peptidase (EC 3.4.-.-)	pilD spr1628	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	219	plasma membrane [GO:0005886]; aspartic-type endopeptidase activity [GO:0004190]; signal peptide processing [GO:0006465]
Q8DQS8	Q8DQS8	reviewed	SYC_STRR6	Cysteine--tRNA ligase (EC 6.1.1.16) (Cysteinyl-tRNA synthetase) (CysRS)	cysS spr0519	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	447	cytoplasm [GO:0005737]; cytosol [GO:0005829]; ATP binding [GO:0005524]; cysteine-tRNA ligase activity [GO:0004817]; zinc ion binding [GO:0008270]; cysteinyl-tRNA aminoacylation [GO:0006423]
Q8DQV6	Q8DQV6	reviewed	RIMP_STRR6	Ribosome maturation factor RimP	rimP spr0477	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	159	cytosol [GO:0005829]; ribosomal small subunit assembly [GO:0000028]; translation [GO:0006412]
Q8DNR5	Q8DNR5	reviewed	KGUA_STRR6	Guanylate kinase (EC 2.7.4.8) (GMP kinase)	gmk spr1583	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	208	cytosol [GO:0005829]; ATP binding [GO:0005524]; guanylate kinase activity [GO:0004385]; phosphorylation [GO:0016310]
Q8DPJ0	Q8DPJ0	unreviewed	Q8DPJ0_STRR6	3-isopropylmalate dehydrogenase	spr1140	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	119	plasma membrane [GO:0005886]
Q8DQR0	Q8DQR0	unreviewed	Q8DQR0_STRR6	Aminoacyltransferase FemA (EC 2.3.2.17) (Factor essential for expression of methicillin resistance A) (N-acetylmuramoyl-L-alanyl-D-glutamyl-L-lysyl-(N6-glycyl)-D-alanyl-D-alanine-diphosphoundecaprenyl-N-acetylglucosamine:glycine glycyltransferase)	murN spr0541	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	410	aminoacyltransferase activity [GO:0016755]; nucleotide binding [GO:0000166]; cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]
Q8CWQ8	Q8CWQ8	unreviewed	Q8CWQ8_STRR6	Protease II (Oligopeptidase B) (EC 3.4.21.83)	ptrB spr1204	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	646	serine-type endopeptidase activity [GO:0004252]; proteolysis [GO:0006508]
Q8DQA8	Q8DQA8	unreviewed	Q8DQA8_STRR6	Degenerate transposase (Orf2)	spr0766	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	134	
Q8DPH2	Q8DPH2	unreviewed	Q8DPH2_STRR6	Uracil permease	pyrP spr1165	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	439	plasma membrane [GO:0005886]; nucleobase transmembrane transporter activity [GO:0015205]
Q8DPK1	Q8DPK1	unreviewed	Q8DPK1_STRR6	Cof family protein	spr1124	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	272	cytosol [GO:0005829]; magnesium ion binding [GO:0000287]; phosphatase activity [GO:0016791]
Q8DNF4	Q8DNF4	unreviewed	Q8DNF4_STRR6	ABC transporter ATP-binding/membrane-spanning-hemolysin secretion protein	clyB spr1770	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	702	membrane [GO:0016020]; ABC-type transporter activity [GO:0140359]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATPase-coupled lipid transmembrane transporter activity [GO:0034040]; cysteine-type peptidase activity [GO:0008234]; proteolysis [GO:0006508]; transmembrane transport [GO:0055085]
Q8DNK6	Q8DNK6	unreviewed	Q8DNK6_STRR6	GalR, member of GalR-LacI family of transcriptional regulators, binds DNA regulator of gal operon	galR spr1669	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	335	DNA-binding transcription factor activity [GO:0003700]; transcription cis-regulatory region binding [GO:0000976]; regulation of DNA-templated transcription [GO:0006355]
P59659	P59659	reviewed	MUTX_STRR6	8-oxo-dGTP diphosphatase (8-oxo-dGTPase) (EC 3.6.1.55) (7,8-dihydro-8-oxoguanine-triphosphatase) (Mutator protein MutT) (dGTP pyrophosphohydrolase)	mutX spr1054	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	154	8-oxo-7,8-dihydrodeoxyguanosine triphosphate pyrophosphatase activity [GO:0035539]; 8-oxo-7,8-dihydroguanosine triphosphate pyrophosphatase activity [GO:0008413]; metal ion binding [GO:0046872]; DNA repair [GO:0006281]; DNA replication [GO:0006260]
Q8CZ05	Q8CZ05	unreviewed	Q8CZ05_STRR6	ABC transporter permease	spr0616	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	254	membrane [GO:0016020]
Q8CZC5	Q8CZC5	unreviewed	Q8CZC5_STRR6	Uncharacterized protein	spr0069	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	52	membrane [GO:0016020]
P59654	P59654	reviewed	COMB_STRR6	Transport protein ComB	comB spr0044	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	449	plasma membrane [GO:0005886]; establishment of competence for transformation [GO:0030420]
P0A3R0	P0A3R0	reviewed	MSAB1_STRR6	Peptide methionine sulfoxide reductase MsrA/MsrB 1 [Includes: Peptide methionine sulfoxide reductase MsrA (Protein-methionine-S-oxide reductase) (EC 1.8.4.11) (Peptide-methionine (S)-S-oxide reductase) (Peptide Met(O) reductase); Peptide methionine sulfoxide reductase MsrB (EC 1.8.4.12) (Peptide-methionine (R)-S-oxide reductase)]	msrAB1 exp3 msrA spr1217	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	312	plasma membrane [GO:0005886]; L-methionine:thioredoxin-disulfide S-oxidoreductase activity [GO:0033744]; peptide-methionine (R)-S-oxide reductase activity [GO:0033743]; peptide-methionine (S)-S-oxide reductase activity [GO:0008113]; protein modification process [GO:0036211]; protein repair [GO:0030091]; response to oxidative stress [GO:0006979]
Q8CZ27	Q8CZ27	unreviewed	Q8CZ27_STRR6	Peptidase M10 metallopeptidase domain-containing protein	spr0542	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	219	extracellular matrix [GO:0031012]; metalloendopeptidase activity [GO:0004222]; zinc ion binding [GO:0008270]; proteolysis [GO:0006508]
Q8CYI4	Q8CYI4	unreviewed	Q8CYI4_STRR6	Uncharacterized protein	spr1420	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	57	
Q8DQ85	Q8DQ85	reviewed	PFKA_STRR6	ATP-dependent 6-phosphofructokinase (ATP-PFK) (Phosphofructokinase) (EC 2.7.1.11) (Phosphohexokinase)	pfkA spr0796	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	335	6-phosphofructokinase complex [GO:0005945]; 6-phosphofructokinase activity [GO:0003872]; AMP binding [GO:0016208]; ATP binding [GO:0005524]; fructose-6-phosphate binding [GO:0070095]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; monosaccharide binding [GO:0048029]; canonical glycolysis [GO:0061621]; fructose 1,6-bisphosphate metabolic process [GO:0030388]; fructose 6-phosphate metabolic process [GO:0006002]
Q8CYP1	Q8CYP1	unreviewed	Q8CYP1_STRR6	Glycosyl hydrolase family 32	spr1190	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	472	
Q8DQ42	Q8DQ42	unreviewed	Q8DQ42_STRR6	N-acetyltransferase domain-containing protein	spr0855	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	189	acyltransferase activity, transferring groups other than amino-acyl groups [GO:0016747]
Q8CWR3	Q8CWR3	unreviewed	Q8CWR3_STRR6	Ribonucleoside-diphosphate reductase (EC 1.17.4.1)	nrdE spr1065	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	719	ribonucleoside-diphosphate reductase complex [GO:0005971]; ATP binding [GO:0005524]; ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor [GO:0004748]; deoxyribonucleotide biosynthetic process [GO:0009263]; DNA replication [GO:0006260]
Q8DNU0	Q8DNU0	unreviewed	Q8DNU0_STRR6	Phospho-2-dehydro-3-deoxyheptonate aldolase (EC 2.5.1.54)	aroF spr1542	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	343	cytoplasm [GO:0005737]; 3-deoxy-7-phosphoheptulonate synthase activity [GO:0003849]; amino acid biosynthetic process [GO:0008652]; aromatic amino acid family biosynthetic process [GO:0009073]; chorismate biosynthetic process [GO:0009423]
Q8CWS6	Q8CWS6	unreviewed	Q8CWS6_STRR6	Large ribosomal subunit assembly factor BipA (EC 3.6.5.-) (GTP-binding protein BipA)	typA bipA spr0598	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	620	cytosol [GO:0005829]; ribonucleoprotein complex [GO:1990904]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; ribosome binding [GO:0043022]; rRNA binding [GO:0019843]; tRNA binding [GO:0000049]; ribosomal large subunit assembly [GO:0000027]; translation [GO:0006412]
Q8DPT1	Q8DPT1	unreviewed	Q8DPT1_STRR6	Transcriptional regulator	rggD spr1022	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	297	DNA binding [GO:0003677]
Q8DQG0	Q8DQG0	unreviewed	Q8DQG0_STRR6	Glutathione oxidoreductase (EC 1.8.1.7)	gor spr0692	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	448	cytosol [GO:0005829]; flavin adenine dinucleotide binding [GO:0050660]; glutathione-disulfide reductase (NADP) activity [GO:0004362]; NADP binding [GO:0050661]; cell redox homeostasis [GO:0045454]; cellular response to oxidative stress [GO:0034599]; glutathione metabolic process [GO:0006749]
Q8DQ76	Q8DQ76	unreviewed	Q8DQ76_STRR6	ABC3 transporter permease protein domain-containing protein	ABC-MSD spr0813	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	662	plasma membrane [GO:0005886]; transmembrane transport [GO:0055085]
Q8DQH8	Q8DQH8	unreviewed	Q8DQH8_STRR6	ABC transporter ATP-binding protein-branched chain amino acid transport	livG spr0662	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	254	plasma membrane [GO:0005886]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; L-isoleucine transmembrane transporter activity [GO:0015188]; L-phenylalanine transmembrane transporter activity [GO:0015192]; L-valine transmembrane transporter activity [GO:0005304]; D-alanine transport [GO:0042941]; L-alanine transport [GO:0015808]; L-isoleucine import across plasma membrane [GO:1903806]; L-valine import across plasma membrane [GO:1903805]
P0A4N0	P0A4N0	reviewed	AMID_STRR6	Oligopeptide transport system permease protein AmiD	amiD spr1705	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	308	plasma membrane [GO:0005886]; peptide transport [GO:0015833]; protein transport [GO:0015031]; transmembrane transport [GO:0055085]
Q8DRN9	Q8DRN9	unreviewed	Q8DRN9_STRR6	Carbonic anhydrase	spr0026	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	188	carbonate dehydratase activity [GO:0004089]; zinc ion binding [GO:0008270]
Q8DQG9	Q8DQG9	reviewed	PYRDA_STRR6	Probable dihydroorotate dehydrogenase A (fumarate) (DHOD A) (DHODase A) (DHOdehase A) (EC 1.3.98.1)	pyrDA spr0672	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	311	cytoplasm [GO:0005737]; dihydroorotate dehydrogenase (fumarate) activity [GO:1990663]; dihydroorotate dehydrogenase activity [GO:0004152]; 'de novo' pyrimidine nucleobase biosynthetic process [GO:0006207]; 'de novo' UMP biosynthetic process [GO:0044205]
Q8DNR2	Q8DNR2	unreviewed	Q8DNR2_STRR6	Antitoxin	spr1586	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	97	
Q8CWN7	Q8CWN7	reviewed	RL332_STRR6	Large ribosomal subunit protein bL33B (50S ribosomal protein L33 2)	rpmG2 spr1822	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	50	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]
Q8DPQ1	Q8DPQ1	unreviewed	Q8DPQ1_STRR6	Phosphoenolpyruvate-protein phosphotransferase (EC 2.7.3.9) (Phosphotransferase system, enzyme I)	ptsI spr1062	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	577	cytoplasm [GO:0005737]; kinase activity [GO:0016301]; metal ion binding [GO:0046872]; phosphoenolpyruvate-protein phosphotransferase activity [GO:0008965]; phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401]; phosphorylation [GO:0016310]
Q8DNM2	Q8DNM2	unreviewed	Q8DNM2_STRR6	ABC transmembrane type-1 domain-containing protein	ABC-MSP spr1643	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	563	plasma membrane [GO:0005886]; transmembrane transport [GO:0055085]
P66201	P66201	reviewed	RL31B_STRR6	Large ribosomal subunit protein bL31B (50S ribosomal protein L31 type B)	rpmE2 rpmE spr1177	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	80	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]
Q8CWT3	Q8CWT3	reviewed	DNAK_STRR6	Chaperone protein DnaK (HSP70) (Heat shock 70 kDa protein) (Heat shock protein 70)	dnaK spr0455	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	607	cytosol [GO:0005829]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent protein folding chaperone [GO:0140662]; heat shock protein binding [GO:0031072]; protein folding chaperone [GO:0044183]; unfolded protein binding [GO:0051082]; chaperone cofactor-dependent protein refolding [GO:0051085]; protein refolding [GO:0042026]
Q8DRM8	Q8DRM8	unreviewed	Q8DRM8_STRR6	Transposase (Orf1)	IS1167 spr0042	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	172	
Q8DPE3	Q8DPE3	unreviewed	Q8DPE3_STRR6	ABC transporter ATP-binding protein/permease	ABC-N/P spr1215	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	596	membrane [GO:0016020]; ABC-type transporter activity [GO:0140359]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATPase-coupled lipid transmembrane transporter activity [GO:0034040]; transmembrane transport [GO:0055085]
Q8DPI1	Q8DPI1	unreviewed	Q8DPI1_STRR6	Teichoic acid subunit flippase	spr1150	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	495	plasma membrane [GO:0005886]
Q8DR73	Q8DR73	unreviewed	Q8DR73_STRR6	Preprotein translocase subunit YajC	spr0296	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	97	plasma membrane [GO:0005886]
